,filename,tot_seconds,netpos_seconds,netpos_prop
0,10582565,233,114,0.4892703862660944
1,49432951,479,21,0.04384133611691023
2,58999505,393,145,0.36895674300254455
3,14043323,359,96,0.26740947075208915
4,8266488,228,169,0.7412280701754386
5,6899209,289,-35,-0.12110726643598616
6,4061220,262,103,0.3931297709923664
7,10457549,268,101,0.376865671641791
8,27573465,543,185,0.3406998158379374
9,58074555,392,51,0.13010204081632654
10,49506566,93,82,0.8817204301075269
11,63837184,271,191,0.7047970479704797
12,6941707,273,100,0.3663003663003663
13,31882478,560,-137,-0.24464285714285713
14,8704246,292,92,0.3150684931506849
15,7859121,247,134,0.5425101214574899
16,40876971,219,-106,-0.4840182648401826
17,15652001,116,-95,-0.8189655172413793
18,11961649,197,-35,-0.17766497461928935
19,61315100,528,186,0.3522727272727273
20,29429272,445,214,0.48089887640449436
21,40472905,217,107,0.4930875576036866
22,7923312,304,77,0.2532894736842105
23,9979161,179,53,0.29608938547486036
24,1813483,224,-9,-0.04017857142857143
25,17526627,255,41,0.1607843137254902
26,14996627,252,52,0.20634920634920634
27,5925051,446,94,0.21076233183856502
28,7328690,382,99,0.2591623036649215
29,43240232,283,-6,-0.02120141342756184
30,5212541,238,-9,-0.037815126050420166
31,62010132,318,92,0.2893081761006289
32,17389914,379,243,0.6411609498680739
33,42514950,259,128,0.4942084942084942
34,18081681,166,-73,-0.4397590361445783
35,27117035,465,0,0.0
36,16379229,215,-64,-0.29767441860465116
37,9218171,112,-83,-0.7410714285714286
38,31460555,146,77,0.5273972602739726
39,42135482,322,63,0.1956521739130435
40,1691006,331,79,0.23867069486404835
41,11461547,422,219,0.518957345971564
42,10600716,478,172,0.3598326359832636
43,34367329,281,120,0.42704626334519574
44,68377612,396,106,0.2676767676767677
45,55564027,407,33,0.08108108108108109
46,43421161,439,156,0.3553530751708428
47,22314431,370,206,0.5567567567567567
48,20944110,132,23,0.17424242424242425
49,5598273,216,79,0.36574074074074076
50,12138112,96,-53,-0.5520833333333334
51,40019105,320,82,0.25625
52,42901297,266,90,0.3383458646616541
53,40251593,208,145,0.6971153846153846
54,47122122,338,92,0.27218934911242604
55,2962149,218,-31,-0.14220183486238533
56,15905969,384,49,0.12760416666666666
57,45514970,565,134,0.23716814159292035
58,6572558,286,-72,-0.2517482517482518
59,17151912,277,45,0.1624548736462094
60,8037500,144,70,0.4861111111111111
61,67167537,387,109,0.28165374677002586
62,9685813,301,-2,-0.006644518272425249
63,25857023,327,41,0.12538226299694188
64,5756974,160,-7,-0.04375
65,64613091,227,90,0.3964757709251101
66,11735710,270,85,0.3148148148148148
67,54715989,134,13,0.09701492537313433
68,62632642,199,-24,-0.12060301507537688
69,7248105,356,-4,-0.011235955056179775
70,3263883,254,29,0.1141732283464567
71,51608564,358,82,0.22905027932960895
72,6624454,90,8,0.08888888888888889
73,12847228,382,34,0.08900523560209424
74,42806782,248,41,0.16532258064516128
75,6223499,284,-36,-0.1267605633802817
76,15885268,339,44,0.12979351032448377
77,1399773,189,106,0.5608465608465608
78,15523382,485,48,0.09896907216494845
79,65057749,566,292,0.5159010600706714
80,43554293,382,26,0.06806282722513089
81,46324219,323,47,0.14551083591331268
82,37404066,240,134,0.5583333333333333
83,5180773,510,160,0.3137254901960784
84,57998607,380,-45,-0.11842105263157894
85,60985327,556,194,0.3489208633093525
86,23723706,480,7,0.014583333333333334
87,16819547,171,12,0.07017543859649122
88,53760286,335,166,0.4955223880597015
89,22281330,363,93,0.256198347107438
90,29581537,386,142,0.36787564766839376
91,43982594,334,31,0.09281437125748503
92,16060399,449,67,0.1492204899777283
93,35617921,453,68,0.15011037527593818
94,29744363,284,49,0.17253521126760563
95,4111092,319,92,0.2884012539184953
96,33615189,220,4,0.01818181818181818
97,20346698,325,32,0.09846153846153846
98,3968690,309,10,0.032362459546925564
99,7878759,465,36,0.07741935483870968
100,68855807,267,187,0.700374531835206
101,26469466,152,-21,-0.13815789473684212
102,19345053,354,-6,-0.01694915254237288
103,4435048,90,-17,-0.18888888888888888
104,3940606,247,-8,-0.032388663967611336
105,16353656,377,90,0.23872679045092837
106,29461756,376,92,0.24468085106382978
107,50329638,388,159,0.4097938144329897
108,11997526,229,64,0.2794759825327511
109,4241782,265,74,0.2792452830188679
110,50353484,322,20,0.062111801242236024
111,17724506,192,100,0.5208333333333334
112,5514149,262,36,0.13740458015267176
113,5517305,315,34,0.10793650793650794
114,16259705,410,176,0.4292682926829268
115,62911314,250,125,0.5
116,58807071,519,184,0.35452793834296725
117,30653034,209,-61,-0.291866028708134
118,12060593,167,4,0.023952095808383235
119,26795602,60,-14,-0.23333333333333334
120,64830245,215,197,0.9162790697674419
121,13566470,336,46,0.13690476190476192
122,18099072,267,129,0.48314606741573035
123,14335329,468,127,0.27136752136752135
124,36484126,262,111,0.42366412213740456
125,67374272,279,44,0.15770609318996415
126,16963025,90,-5,-0.05555555555555555
127,56657814,74,45,0.6081081081081081
128,32922932,287,112,0.3902439024390244
129,45020985,203,158,0.7783251231527094
130,61568946,279,100,0.35842293906810035
131,29353010,350,120,0.34285714285714286
132,11677976,243,24,0.09876543209876543
133,18216166,423,144,0.3404255319148936
134,30253226,438,67,0.15296803652968036
135,12624042,262,-54,-0.20610687022900764
136,8474943,191,9,0.04712041884816754
137,24087173,71,-60,-0.8450704225352113
138,69838726,341,90,0.26392961876832843
139,41627198,183,25,0.1366120218579235
140,4652952,438,16,0.0365296803652968
141,39735015,241,94,0.3900414937759336
142,11234035,225,77,0.3422222222222222
143,6114216,290,70,0.2413793103448276
144,37239262,410,166,0.40487804878048783
145,17710267,344,100,0.29069767441860467
146,10629817,372,57,0.1532258064516129
147,34771307,346,-2,-0.005780346820809248
148,52332887,444,232,0.5225225225225225
149,18782281,261,55,0.210727969348659
150,11109387,216,8,0.037037037037037035
151,59267815,191,131,0.6858638743455497
152,62218716,280,116,0.4142857142857143
153,9111799,104,-1,-0.009615384615384616
154,8280986,164,90,0.5487804878048781
155,16432927,428,119,0.2780373831775701
156,24537892,471,39,0.08280254777070063
157,7478714,529,299,0.5652173913043478
158,32519,354,7,0.01977401129943503
159,36806461,391,89,0.22762148337595908
160,3928737,514,92,0.17898832684824903
161,27623920,187,74,0.39572192513368987
162,65229729,444,43,0.09684684684684684
163,49282093,416,182,0.4375
164,664618,196,41,0.20918367346938777
165,11902570,91,-29,-0.31868131868131866
166,68436803,240,143,0.5958333333333333
167,16549864,324,34,0.10493827160493827
